chainage_from,chainage_to,attenuation_mb_per_m,survey_date
141.935,141.965,3.08,2025-03-30
141.965,142.778,0.057,2025-03-30
142.778,143.672,0.079,2025-03-30
143.672,145.0,0.018,2025-03-30
145.0,146.0,0.143,2025-03-30
146.0,147.0,0.048,2025-03-30
147.0,147.754,1.002,2025-03-30
147.754,149.0,1.145,2025-03-30
149.0,149.59,0.106,2025-03-30
149.59,149.936,0.548,2025-03-30
149.936,151.01,0.06,2025-03-30
151.01,152.051,0.031,2025-03-30
152.051,153.4,0.628,2025-03-30
153.4,154.124,0.099,2025-03-30
154.25,155.051,0.09,2025-03-30
155.051,156.051,0.146,2025-03-30
156.051,157.051,0.074,2025-03-30
157.051,158.27,0.061,2025-03-30
158.27,159.446,0.064,2025-03-30
159.446,159.58,6.829,2025-03-30
160.261,161.069,0.052,2025-03-30
161.069,162.28,0.07,2025-03-30
162.28,162.4,0.713,2025-03-30
162.4,162.558,1.1,2025-03-30
162.558,162.661,0.856,2025-03-30
162.661,163.05,0.0,2025-03-30
163.05,164.95,0.142,2025-03-30
