chainage_km,on_potential_v_cse,off_potential_v_cse,survey_date
141.935,-1.12,-0.903,2025-05-20
142.685,-1.158,-0.979,2025-05-20
143.435,-1.111,-0.952,2025-05-20
144.185,-1.059,-0.862,2025-05-20
144.935,-1.164,-1.008,2025-05-20
145.685,-1.164,-0.98,2025-05-20
146.435,-1.055,-0.914,2025-05-20
147.185,-1.024,-0.851,2025-05-20
147.935,-1.098,-0.894,2025-05-20
148.685,-1.117,-0.923,2025-05-20
149.435,-1.178,-0.994,2025-05-20
150.185,-1.178,-1.0,2025-05-20
150.935,-1.135,-0.962,2025-05-20
151.685,-1.265,-1.114,2025-05-20
152.435,-1.253,-1.088,2025-05-20
153.185,-1.128,-0.943,2025-05-20
153.935,-1.155,-0.94,2025-05-20
154.685,-1.131,-0.944,2025-05-20
155.435,-1.204,-1.06,2025-05-20
156.185,-1.235,-1.048,2025-05-20
156.935,-1.062,-0.89,2025-05-20
157.685,-1.164,-0.997,2025-05-20
158.435,-1.146,-0.954,2025-05-20
159.185,-1.187,-0.975,2025-05-20
159.935,-1.135,-0.924,2025-05-20
160.685,-1.143,-0.98,2025-05-20
161.435,-1.219,-1.045,2025-05-20
162.185,-1.127,-0.941,2025-05-20
162.935,-1.186,-0.987,2025-05-20
163.685,-1.168,-0.997,2025-05-20
164.435,-1.09,-0.89,2025-05-20
