chainage_from_km,chainage_to_km,signal_mv_s1_upstream,signal_mv_s2_downstream,defect_chainage_km,pre_mv,olre_mv,pct_ir,latitude,longitude,analysis,survey_date
141.935,141.965,1890,1870,,,,,,,,2025-04-04
141.965,142.778,1870,1860,,,,,,,,2025-04-04
142.778,143.672,1860,1845,,,,,,,,2025-04-04
143.672,145.0,1845,1840,,,,,,,,2025-04-04
145.0,146.0,1840,1810,,,,,,,,2025-04-04
146.0,147.0,1810,1800,,,,,,,,2025-04-04
147.0,147.754,1800,1650,147.722,1656.37,480.0,28.98,27.299007,77.589658,Moderate,2025-04-04
147.754,149.0,1650,1400,148.116,1577.37,395.0,25.04,27.300607,77.593347,Moderate,2025-04-04
149.0,149.59,1400,1390,,,,,,,,2025-04-04
149.59,149.936,1390,1360,,,,,,,,2025-04-04
149.936,151.01,1360,1350,,,,,,,,2025-04-04
151.01,152.051,1350,1345,,,,,,,,2025-04-04
152.051,153.4,1345,1220,153.388,1221.11,230.0,18.84,27.324772,77.63931,Moderate,2025-04-04
153.4,154.124,1220,1210,,,,,,,,2025-04-04
154.25,155.051,1210,1200,,,,,,,,2025-04-04
155.051,156.051,1200,1180,,,,,,,,2025-04-04
156.051,157.051,1180,1170,,,,,,,,2025-04-04
157.051,158.27,1170,1160,,,,,,,,2025-04-04
158.27,159.446,1160,1150,,,,,,,,2025-04-04
159.446,159.58,1150,1035,159.516,1089.93,290.0,26.61,27.349806,77.691393,Moderate,2025-04-04
160.261,161.069,1035,1030,,,,,,,,2025-04-04
161.069,162.28,1030,1020,,,,,,,,2025-04-04
162.28,162.4,1020,1010,,,,,,,,2025-04-04
162.4,162.558,1010,990,,,,,,,,2025-04-04
162.558,162.661,990,980,,,,,,,,2025-04-04
162.661,163.05,980,980,,,,,,,,2025-04-04
163.05,164.95,980,950,164.942,950.13,210.0,22.1,27.38387,77.696591,Moderate,2025-04-04
