chainage_km,abs_distance_m,joint_number,feature_type,feature_id,orientation_oclock,wt_mm,axial_length_mm,width_mm,depth_pct_wt,location_int_ext,erf_b31g,psafe_kg_cm2,latitude,longitude,survey_date
144.521,2585.7,2320,Metal loss,Corrosion,02:08:00,7.2,20.0,36.0,24.0,External,0.832,113.0,27.2875843,77.5580777,2025-11-15
153.652,11717.2,9970,Metal loss,Corrosion,02:56:00,7.2,23.0,49.0,25.0,External,0.834,112.7,27.3247151,77.6392399,2025-11-15
163.506,21571.2,18290,Metal loss,Corrosion,04:58:00,7.2,20.0,36.0,24.0,Internal,0.832,113.0,27.3788885,77.7016162,2025-11-15
163.509,21573.5,18290,Metal loss,Corrosion,07:44:00,7.2,18.0,36.0,22.0,Internal,0.83,113.3,27.3789036,77.7016005,2025-11-15
163.509,21573.5,18290,Metal loss,Corrosion,03:58:00,7.2,19.0,54.0,22.0,Internal,0.83,113.2,27.3789036,77.7016005,2025-11-15
163.509,21573.6,18290,Metal loss,Corrosion,07:44:00,7.2,16.0,36.0,35.0,Internal,0.832,113.0,27.3789042,77.7015998,2025-11-15
163.51,21574.7,18290,Metal loss,Corrosion,04:34:00,7.2,11.0,27.0,22.0,Internal,0.827,113.7,27.3789111,77.7015926,2025-11-15
163.51,21574.8,18290,Metal loss,Corrosion,04:10:00,7.2,13.0,54.0,23.0,Internal,0.828,113.6,27.3789117,77.7015919,2025-11-15
163.51,21574.9,18290,Metal loss,Corrosion,07:20:00,7.2,21.0,49.0,23.0,Internal,0.832,113.0,27.3789125,77.7015911,2025-11-15
163.514,21578.5,18300,Metal loss,Corrosion,06:52:00,7.2,24.0,130.0,22.0,Internal,0.834,112.8,27.3789366,77.7015656,2025-11-15
