segment_km,health_score,severity,surveys_present,compounded,score_cipl,score_ili,score_dcvg,score_cat,score_soil,score_dci
141.9,100.0,Healthy,1,False,100.0,,,,,
142.0,97.3,Healthy,4,False,,100.0,100.0,98.4,65.0,
142.1,99.7,Healthy,3,False,,100.0,100.0,98.4,,
142.2,99.7,Healthy,3,False,,100.0,100.0,98.4,,
142.3,99.7,Healthy,3,False,,100.0,100.0,98.4,,
142.4,99.7,Healthy,3,False,,100.0,100.0,98.4,,
142.5,99.7,Healthy,3,False,,100.0,100.0,98.4,,
142.6,99.8,Healthy,4,False,100.0,100.0,100.0,98.4,,
142.7,99.7,Healthy,3,False,,100.0,100.0,98.4,,
142.8,99.0,Healthy,3,False,,100.0,100.0,93.2,,
142.9,99.0,Healthy,3,False,,100.0,100.0,93.2,,
143.0,95.1,Healthy,4,False,,100.0,100.0,93.2,45.0,
143.1,99.0,Healthy,3,False,,100.0,100.0,93.2,,
143.2,99.0,Healthy,3,False,,100.0,100.0,93.2,,
143.3,99.0,Healthy,3,False,,100.0,100.0,93.2,,
143.4,99.2,Healthy,4,False,100.0,100.0,100.0,93.2,,
143.5,99.0,Healthy,3,False,,100.0,100.0,93.2,,
143.6,99.0,Healthy,3,False,,100.0,100.0,93.2,,
143.7,100.0,Healthy,3,False,,100.0,100.0,100.0,,
143.8,100.0,Healthy,3,False,,100.0,100.0,100.0,,
143.9,100.0,Healthy,3,False,,100.0,100.0,100.0,,
144.0,98.9,Healthy,4,False,,100.0,100.0,100.0,85.0,
144.1,100.0,Healthy,4,False,100.0,100.0,100.0,100.0,,
144.2,100.0,Healthy,3,False,,100.0,100.0,100.0,,
144.3,100.0,Healthy,3,False,,100.0,100.0,100.0,,
144.4,100.0,Healthy,3,False,,100.0,100.0,100.0,,
144.5,83.7,Healthy,3,False,,69.7,100.0,100.0,,
144.6,100.0,Healthy,3,False,,100.0,100.0,100.0,,
144.7,100.0,Healthy,3,False,,100.0,100.0,100.0,,
144.8,100.0,Healthy,3,False,,100.0,100.0,100.0,,
144.9,100.0,Healthy,4,False,100.0,100.0,100.0,100.0,,
145.0,95.8,Healthy,4,False,,100.0,100.0,78.3,85.0,
145.1,96.7,Healthy,3,False,,100.0,100.0,78.3,,
145.2,96.7,Healthy,3,False,,100.0,100.0,78.3,,
145.3,96.7,Healthy,3,False,,100.0,100.0,78.3,,
145.4,96.7,Healthy,3,False,,100.0,100.0,78.3,,
145.5,96.7,Healthy,3,False,,100.0,100.0,78.3,,
145.6,97.4,Healthy,4,False,100.0,100.0,100.0,78.3,,
145.7,96.7,Healthy,3,False,,100.0,100.0,78.3,,
145.8,96.7,Healthy,3,False,,100.0,100.0,78.3,,
145.9,96.7,Healthy,3,False,,100.0,100.0,78.3,,
146.0,97.5,Healthy,4,False,,100.0,100.0,100.0,65.0,
146.1,100.0,Healthy,3,False,,100.0,100.0,100.0,,
146.2,100.0,Healthy,3,False,,100.0,100.0,100.0,,
146.3,100.0,Healthy,3,False,,100.0,100.0,100.0,,
146.4,100.0,Healthy,4,False,100.0,100.0,100.0,100.0,,
146.5,100.0,Healthy,3,False,,100.0,100.0,100.0,,
146.6,100.0,Healthy,3,False,,100.0,100.0,100.0,,
146.7,100.0,Healthy,3,False,,100.0,100.0,100.0,,
146.8,100.0,Healthy,3,False,,100.0,100.0,100.0,,
146.9,100.0,Healthy,3,False,,100.0,100.0,100.0,,
147.0,85.7,Healthy,4,False,,100.0,100.0,17.4,65.0,
147.1,90.3,Healthy,4,False,100.0,100.0,100.0,17.4,,
147.2,87.3,Healthy,3,False,,100.0,100.0,17.4,,
147.3,87.3,Healthy,3,False,,100.0,100.0,17.4,,
147.4,87.3,Healthy,3,False,,100.0,100.0,17.4,,
147.5,87.3,Healthy,3,False,,100.0,100.0,17.4,,
147.6,87.3,Healthy,3,False,,100.0,100.0,17.4,,
147.7,72.1,Watch,3,False,,100.0,50.5,17.4,,
147.8,86.5,Healthy,3,False,,100.0,100.0,12.4,,
147.9,89.7,Healthy,4,False,100.0,100.0,100.0,12.4,,
148.0,73.6,Watch,4,True,,100.0,100.0,12.4,45.0,
148.1,73.4,Watch,3,False,,100.0,57.4,12.4,,
148.2,86.5,Healthy,3,False,,100.0,100.0,12.4,,
148.3,86.5,Healthy,3,False,,100.0,100.0,12.4,,
148.4,86.5,Healthy,3,False,,100.0,100.0,12.4,,
148.5,86.5,Healthy,3,False,,100.0,100.0,12.4,,
148.6,89.7,Healthy,4,False,100.0,100.0,100.0,12.4,,
148.7,86.5,Healthy,3,False,,100.0,100.0,12.4,,
148.8,86.5,Healthy,3,False,,100.0,100.0,12.4,,
