chainage_km,resistivity_ohm_cm,survey_date
142.0,2013,2025-03-25
143.0,1924,2025-03-25
144.0,5254,2025-03-25
145.0,6896,2025-03-25
146.0,3376,2025-03-25
147.0,2023,2025-03-25
148.0,1467,2025-03-25
149.0,887,2025-03-25
150.0,4193,2025-03-25
151.0,7552,2025-03-25
152.0,3438,2025-03-25
153.0,7653,2025-03-25
154.0,944,2025-03-25
155.0,5279,2025-03-25
156.0,3656,2025-03-25
157.0,3014,2025-03-25
158.0,3664,2025-03-25
159.0,1296,2025-03-25
160.0,3136,2025-03-25
161.0,4184,2025-03-25
162.0,7328,2025-03-25
163.0,2701,2025-03-25
164.0,2336,2025-03-25
